NO,項目　※優先…背景黄色,ページ名,ＵＲＬ,備考,担当,進捗状況,反映日,ステータス,実施後の効果
1,"コラム　リライト
（クリック数増加ページ）",公認不正検査士（CFE）の難易度は？その他の資格と比較しながら解説,https://www.abitus.co.jp/column_voice/cfe/column_voice6.html,"KW「公認不正検査士」はクリック増加
KW「cfe 資格」　掲載順位4.8となってるがこのページか…？
→ACFEが上位（一次情報（公式）だからというのが要因）
・合格率など日付が古い情報のアップデート

※12/23：出来るところまで進めて、次回の進捗確認！",鈴木（九石さん、内芝さん連携）,"CFE難易度_リライト方針

https://suzukitakumi-hub.github.io/article/CFE%E9%9B%A3%E6%98%93%E5%BA%A6/",,,
2,"コラム　リライト
（クリック数減少ページ）
★対応は要相談",不正会計とは？事例を基に種類や発生原因、効果的な対策まで解説,https://www.abitus.co.jp/column_voice/cfe/column_voice14.html,"掲載上位はBPOの会社。講座として上位に行くなら「実際に報道のある事例」を交えたり「最新動向 」「 実践チェックリスト」などをプロの目線で盛り込んだリライトが必要か
KW「不正会計 事例」",鈴木（九石さん、内芝さん連携）,"不正会計_リライト方針
https://reliable-twilight-8d7c01.netlify.app/",,,
3,"コラム　リライト
（クリック数減少ページ）
★対応は要相談",コンプライアンス違反事例11選　違反のリスクや原因、3つの対策法を解説,https://www.abitus.co.jp/column_voice/cfe/column_voice11.html,"KW「コンプライアンス　違反 事例」
掲載順位9~15位、imp9月→10月で-1,568
「直近の有名企業の不祥事を、不正のトライアングルの図を使って解説する」パートを追加など検討",鈴木（九石さん、内芝さん連携）,コンプライアンス違反_リライト方針,,,
4,"コラム　リライト
★対応は要相談",公認不正検査士（CFE）の年収はどれくらい？不正検査の仕事内容も紹介,https://www.abitus.co.jp/column_voice/cfe/column_voice5.html,「公認不正検査士 年収」「CFE 転職」らへんに対して表示順位を上げるようリライト？,鈴木（九石さん、内芝さん連携）,CFE年収_リライト方針,,,
5,コラム　新規,「CFE 勉強法」とか「ユーザーの悩み・本音」に寄り添うキーワード,,"参考　https://www.acfe.jp/cfe/exam/advice/
勉強に悩むこと少なそう…別軸で効率系（短期合格）などか？",鈴木（九石さん、内芝さん連携）,"・森岡：神谷さんへ新規記事依頼？
→頭出しメールは森岡
　契約周り鈴木さんへバトンパス",,,
6,　└ガバナンスウィークの登壇資料を基にコラム化？？,,,,,,,,
7,ページアップデート,CFE（公認不正検査士）とは？ 資格の概要や魅力について解説,https://www.abitus.co.jp/cfe/about/feature/,"セッション、ＣＶ、ＣＶＲが前月比から大幅減
https://www.acfe.jp/cfe/exam/　このページを見て改善点まとめる？

※12/23：出来るところまで進めて、次回の進捗確認！",鈴木（九石さん、内芝さん連携）,"CFEとは_リライト方針
",,,
8,コラム共通,,,下部に「カテゴリ」があるが中身が無いので、他講座のように消しては？,,,,,
9,合格体験記　写真マスト化,,https://www.abitus.co.jp/cfe/voice/,"ガバナンス3講座で寄稿アンケートは配信済？（●月）
→回答どのくらいあったのか？

※12/23：出来るところまで進めて、次回の進捗確認！",鈴木,・1月上旬に12月試験結果が分かるのでアンケート強化中（竹村さん）,,,
10,広告用のＬＰの確認,,https://www.abitus.co.jp/lp/cfe/ad1/,"サイバーさんにＬＰあるかと出稿状況の確認（数値も）

※12/23：出来るところまで進めて、次回の進捗確認！",鈴木,LPは無い,,,
11,CFE全ページに対して文言修正,,,,中澤さん→反映は鈴木,中澤さんの終了まち,,,
12,比較表,,https://docs.google.com/spreadsheets/d/1Y3b_Ns1CLi960je4CNxIjoTeboAAq7nb_HAfZ68tWnE/edit?gid=2105353691#gid=2105353691,内芝さん・森岡さん作成、中澤さんOK,,本橋さん対応中。,,,
13,CFEを知る、のページの改修,CFEを知る,https://www.abitus.co.jp/cfe/about/,CFEを知る、のページが現在、不正対策強化に貢献できる世界標準の素養を証明する国際資格です。程度の文章量のため、内容を拡充させる,,九石さん確認済み。まだ依頼していないので、本橋さん依頼予定,,,
14,,,,,,,,,
15,,,,,,,,,
